ARAB FEMALE FIRST NAMES
Abida: worshiper
Adiba: cultivated
Afaf: clearness
Afifa: chastity
Ahlem: dream
Aïcha: enthusiasm
Aïda: reward
Alia: raised
Amana: fidelity
Amel: hope
Amina: honesty
Amira: princess
Anissa: pleasant
Asma: beautiful
Assia: protect
Atika: of good famous
Aya: verse
Aziza: liked well
Badra: the brilliant moon
Basma: to smile
Chadia: gracious
Chafia: look after
Chafika: to tend
Chahra: notoriety
Chahrazad: sensitive
Chakira: of chakour grateful
Dalila: cherished
Djamila: beautiful
Douha: morning
Dounia: terrestrial life
Emna: believing
Fadila: honest
Faiza: victorious
Farida: single
Faten: tempting
Fatiha: opening
Fatima: girl of the Prophet
Fouzia: famous
Ghalia: expensive
Ghania: easy
Habiba: beloved
Hadia: gift
Hafida: protect
Hafsa: lioness
Hakima: just
Hauled: crown
Halima: soft
Hamida: pleasant
Hanane: affectionateness
Hania: peace
Hanna: affectionate
Hayet: life
Hawa: Eve
Ibtissem: to smile
Ikram: generosity
Ilhem: inspiration
Imane: belief
Ines: partner
Karima: generous
Kawtar: prosperity
Kenza: treasure
Khadidja: first wife of the prophet
Khalida: eternal
Latifa: pretty
Leila: friend of the night
Mabrouka: lucky
Maha: crystal
Mahbouba: liked well
Maissa: slender
Majda: psychopath
Malika: queen
Manel: present
Meriem: Mary
Moufida: necessary
Mouna: wish
Mounira: luminous
Nabila: noble
Nacira: victorious
Nadia: tenderness
Nadjiba: assiduous
Nafissa: invaluable
Naïma: delicate
Najet: help
Nawel: favour
Naziha: honest
Nedjma: star
Nour: light
Rachida: well guided
Rahma: mercy
Rajah: hope
Rawda: garden
Safia: faithful
Saïda: happy
Sakina: quietude
Saliha: modest
Salima: pure
Saloua: peace
Samia: noble
Samira: friendly
Sanaa: brillance
Selma: peaceful
Sihème: arrow
Soraya: ease
Souad: wellbeing
Wafa: fidelity
Wahiba: generous
Warda: flower
Wasilla: bond
Wided: affection
Yamina: happy
Yasmine: jasmine
Yousra: reconciling
Zineb: comforting
Zohra: glare


ARAB MALE FIRST NAMES
Adam: Adam
Adel: just
Adib: cultivated
Adil: just
Ahmed: rented
Aissa: Jesus
Ali: raised
Amine: just
Amir: fertile
Anas: near
Anise: gracious
Anouar: shining
Ayoub: Jobe
Azziz: liked
Bachir: advertiser
Badr: plenitude
Baligh: eloquent
Billal: muezzin of Islam
Bouzid: thrive
Chafik: sympathizing
Chahid: witness
Chaker: thanking
Chams: sun
Chawki: pleasant
Chokri: blessed
Daoud: David
Djamel: beauty
Djillali: considered
Fadel: excellent
Fahim: clear-sighted
Fares: rider
Farid: single
Fathi: triumphant victor
Faudel: honest
Faouzi: success
Fayçal: that which decides
Ferhat: joy
Fouad: heart
Gibril: Gabriel
Ghani: Rich person
Habib: very expensive
Hafid: guard
Hakim: wise
Halim: lenient
Hamid: worthy
Hani: happy
Hichem: generous
Hilal: crescent of the moon
Hosni: virtuous
Ismail: son of Abraham
"Imed: pillar, column"
Jabar: comforting
Kaddour - Kader: powerful
Kamel: perfect
Karim: generous
Khaled: eternal
Khalil: companion
Larbi: arabic
Lotfi: soft
Mabrouk: blessed
Mahboub: the liked good
Mahfoud: protected
Mahmoud: deserving
Malik: king
Marwan: generous
Mehdi: guide
Mohamed: Prophet of Islam
Moktar: the selected one
Moncef: equitable
Mourad: wished
Nabil: noble
Nacer: triumphant victor
Nadir: shining
Nadjib: studious
Nassim: to zéphir
Nazim: methodical
Nouh: Noah
Omar: long life
Othmane: snake
Usama: lion cub
Rabah: prosperity
Rachid: guided well
Rafik: friend
Rahal: traveller
Ramzi: living
Raouf: good
Rayan: vigorous
Réda: satisfaction
Redouane: satisfaction
Riad: peaceful
Rochdi: uprightness
Sabri: patient
Salah: right
Salim: healthy
Sami: noble
Sedik: sincere
Sofiane: pure
Tahar: virtuous
Taimim: the perfect one
Tarek: conqueror
Tayeb: generous
Tawfik: show
Wallid: wire
Wassim: beautiful features
Yacoub: Jacob
Yazid: superior
Youcef: Joseph
Younes: Jonas
Zahid: detached of this world
Zaïm: chief
Zakaria: Zakari
Zaki: pure
Ziad: fertile
Zoheir: glare
