#A
#Aasgeier	vulture
#ätzend	godawful
#Alte	old bag/bat
Angeber	braggart/boaster/loudmouth
Armleuchter	dead head/fuckwit
Arschloch	asshole
Arschkeks, verfluchter!	stupid shithead
für`n Arsch	bloody/fucking useless
Ich bin völlig im Arsch	I´m knackered/shagged out/dead
Du hast den Arsch offen	You´re full of shit
Leck mich am Arsch	Kiss my ass/Up yours
#aufgeilen	to wind up/get turned on

#B
breit sein	to be spaced out/far gone (dope) oder to be pissed/sloshed/several sheets to the wind (drink)
Backpfeifengesicht	 fish face
beinhart	terrific/rock hart
#sturer Bock	stubborn old goat
geiler Bock	 randy/horny so and so
Bruchbude	flea pit
Bullenschwein	fuzz/the bill
bumsen	to screw/bang/get laid
Bumslokal	red light bar

#D
Dösbaddel	jerk/moron/cretin
Drecksack	asshole/shit (person)
Drecksnest	armpit of the universe
Dummkopf	idiot/jerk
dumme Nuss	moron/idiot
dumme Pute	daft Minnie/Fanny

#E
Eier	balls/bollocks/nuts/goolies/cobblers
#Esel	donkey/oaf

#F
Fresse!	Shut it/shut your trap 
Fettarsch	 fat arse
ficken	to fuck/lay/bang/screw
Fick dich in Knie	Go fuck youself/get stuffed
Filzlaus	pain in the arse
Flasche	bore/prat/dogo
Flatter machen	to make oneself scarce
Flegel	brat/bounder (very old fashioned)
fressen	to nosh
Fummel	rag
Fusel	gut rot/plonk/hooch

#G
Giftzahn	rat bag
Blöde Gans!	silly cow
geil	horny/randy oder terrific/far out/magic
geiles Luder	nympho
Gesöff	gut rot
Giftzwerg	evil little devil/bastard
Gruftis	the old folk/straights oder (Teil der Punkszene:) goths

#H
Hornochse	turkey/jerk/muttonhead
Halsabschneider	cut.throat
Himmel, arsch und Zwirn!	Christi allmighty!/God damn it!
hirnrissig	crazy/nuts
feiger Hund	coward/yellowbelly

#K
kotzen	to throw up/puke/barf/spew/vomit
kamel	spastic/dodo
Käsequanten	stinkfeet
Knacker	old turd
Knalltüte	wimp/wet/twit
Korinthenkacker	pisser/fusspot
Kotzbrocken	pain (in the arse)
Kümmerling	runt/wimp

#L
#Du Lusche!	useless idiot/jerk
#Labern	to rabbit on/blab/blabber
#Lahmarsch	slowcoach
#Lahme Ente	lame duck
#linken	to cheat

#M
Macker	bloke/tough guy/macho
Halts maul	shut your face/gob/trap
miefen	to pong/reet/stink

#N
Nutte	tart/hooker/whore/pro
#Nepp	ripp off
Nervensäge	pain in the arse

P
Penner	dosser
#Pack	pack
#Pampe	mush
Piefke	brown	nose/creep
Pisse	piss/pee
Verpiss dich!	Piss off/get lost
Pissnelke	jerk/cow
plattmachen	to bore/astonish

#Q
#Quacksalber	quack

#R
Rowdy	hooligan/rowdy
reihern	to throw up/ride the porcelain bus
Reiß dich am riemen	Get a grip!/Pull yourself together!
rote Sau	pinko
Rotzfahne	snot rag
Rübe	nob/noggon/conk

#S
saufen	to booze/raise in the elbow/get plastered
fauler Sack	idle sod
Du gehst mir auf den sack!	You get on my nerves/wick/tits
schluffig	slouchy
Saftladen	These people couldn`t organize a bunfight
Sargnagel	coffin nail
Saustall	pig stay
saumselig	idle/feet	dragging
Scheiße	shit
scheisse	shit
Klugscheißer	bogmouth/know	all/smart aleck
Scheißspiel!	lousy game/this game stinks
Schnarchsack/snorer
Schlampe	slut
Schnepfe	slag/slut/cock	teaster/tease
Schwanz	cock/prick/tool/tail/dong/dick
Schweinepriester	creeping Jesus
Sense!	It´s all over/Kiss your ass and goodbye
#Siff;versifft	filth/crap/junk
#Du spinnst wohl	You must be kidding/joking oder You must be off your head
Stinkstiefel	pratt
Das stinkt mir!	 that pisses me off

#T
Titten	tits/knockers/boobs/boobys
Transuse	ragged arse/idle layabout
Trottel	fool/moron/nit
Tussi	skirt/crumpet

#V
vögeln	to fuck/screw/bang/hump
vergammeltes Loch	hole/dive
#vergiss es!	Forget it/Give it a rest!

#W
Waschlappen	waggler
#Was geht hier ab?	Whats going on/down?
alter wichser	old wanker	
wichser

#Z
fauler zauber	dirty deal/cheat
Zieh Leine!	Piss off/Get lost/make tracks
Zimtzicke	moaning Minnie
